Installed 1 package in 2ms
apps/backend/app/modules/client_portal/schemas.py:63: unused variable 'membership_state' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:133: unused variable 'photo_url' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:134: unused variable 'specialization' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:135: unused variable 'bio' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:234: unused variable 'expires_in' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:329: unused variable 'sound' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:369: unused variable 'onboarding_completed_at' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:417: unused variable 'workouts' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:418: unused variable 'minutes' (60% confidence)
apps/backend/app/modules/clients/models.py:56: unused variable 'MALE' (60% confidence)
apps/backend/app/modules/clients/models.py:57: unused variable 'FEMALE' (60% confidence)
apps/backend/app/modules/clients/models.py:63: unused variable 'LOSE_WEIGHT' (60% confidence)
apps/backend/app/modules/clients/models.py:64: unused variable 'GAIN_MASS' (60% confidence)
apps/backend/app/modules/clients/models.py:65: unused variable 'TONE' (60% confidence)
apps/backend/app/modules/clients/models.py:66: unused variable 'MAINTAIN' (60% confidence)
apps/backend/app/modules/clients/models.py:127: unused variable 'onboarding_completed_at' (60% confidence)
apps/backend/app/modules/clients/schemas.py:97: unused variable 'relation' (60% confidence)
apps/backend/app/modules/clients/schemas.py:120: unused method '_normalise_tags' (60% confidence)
apps/backend/app/modules/clients/schemas.py:122: unused variable 'cls' (100% confidence)
apps/backend/app/modules/clients/schemas.py:152: unused method '_reject_explicit_null' (60% confidence)
apps/backend/app/modules/clients/schemas.py:154: unused variable 'cls' (100% confidence)
apps/backend/app/modules/clients/schemas.py:165: unused method '_normalise_tags' (60% confidence)
apps/backend/app/modules/clients/schemas.py:167: unused variable 'cls' (100% confidence)
apps/backend/app/modules/clients/schemas.py:225: unused method '_normalise_date_boundary' (60% confidence)
apps/backend/app/modules/clients/schemas.py:227: unused variable 'cls' (100% confidence)
apps/backend/app/modules/clients/schemas.py:253: unused method '_normalise_q' (60% confidence)
apps/backend/app/modules/clients/schemas.py:255: unused variable 'cls' (100% confidence)
apps/backend/app/modules/fiscal_receipts/models.py:75: unused variable 'failed_at' (60% confidence)
apps/backend/app/modules/fiscal_receipts/repository.py:68: unused function 'get_fiscal_receipt_by_payment_id_and_kind' (60% confidence)
apps/backend/app/modules/fiscal_receipts/service.py:84: unused attribute 'failed_at' (60% confidence)
apps/backend/app/modules/fiscal_receipts/tasks.py:230: unused attribute 'failed_at' (60% confidence)
apps/backend/app/modules/gym/models.py:32: unused variable 'address' (60% confidence)
apps/backend/app/modules/gym/models.py:33: unused variable 'tagline' (60% confidence)
apps/backend/app/modules/gym/models.py:34: unused variable 'city' (60% confidence)
apps/backend/app/modules/gym/models.py:35: unused variable 'metro' (60% confidence)
apps/backend/app/modules/gym/models.py:40: unused variable 'latitude' (60% confidence)
apps/backend/app/modules/gym/models.py:41: unused variable 'longitude' (60% confidence)
apps/backend/app/modules/gym/models.py:44: unused variable 'hours' (60% confidence)
apps/backend/app/modules/gym/models.py:49: unused variable 'amenities' (60% confidence)
apps/backend/app/modules/gym/models.py:54: unused variable 'rules' (60% confidence)
apps/backend/app/modules/gym/models.py:59: unused variable 'social' (60% confidence)
apps/backend/app/modules/gym/router.py:41: unused function 'client_get_gym_info' (60% confidence)
apps/backend/app/modules/gym/router.py:65: unused function 'owner_get_gym_info' (60% confidence)
apps/backend/app/modules/gym/router.py:86: unused function 'owner_update_gym_info' (60% confidence)
apps/backend/app/modules/gym/schemas.py:26: unused variable 'handle' (60% confidence)
apps/backend/app/modules/gym/schemas.py:39: unused variable 'address' (60% confidence)
apps/backend/app/modules/gym/schemas.py:40: unused variable 'tagline' (60% confidence)
apps/backend/app/modules/gym/schemas.py:41: unused variable 'city' (60% confidence)
apps/backend/app/modules/gym/schemas.py:42: unused variable 'metro' (60% confidence)
